Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires (2010-)","040","Autriche","671","Disponibilité de protéines en quantité (g)","S2903","Produits Vegetaux","2018","2018","g","141904","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","040","Autriche","671","Disponibilité de protéines en quantité (g)","S2903","Produits Vegetaux","2019","2019","g","145690.61","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","040","Autriche","681","Disponibilité de matière grasse en quantité (g)","S2903","Produits Vegetaux","2018","2018","g","226955","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","040","Autriche","681","Disponibilité de matière grasse en quantité (g)","S2903","Produits Vegetaux","2019","2019","g","256938.8","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","040","Autriche","661","Disponibilité alimentaire (Kcal)","S2941","Produits Animaux","2018","2018","million kcal","3873313.86","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","040","Autriche","661","Disponibilité alimentaire (Kcal)","S2941","Produits Animaux","2019","2019","million kcal","3987215.12","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","040","Autriche","671","Disponibilité de protéines en quantité (g)","S2941","Produits Animaux","2018","2018","g","214254.74","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","040","Autriche","671","Disponibilité de protéines en quantité (g)","S2941","Produits Animaux","2019","2019","g","210816.51","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","040","Autriche","681","Disponibilité de matière grasse en quantité (g)","S2941","Produits Animaux","2018","2018","g","311740.81","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","040","Autriche","681","Disponibilité de matière grasse en quantité (g)","S2941","Produits Animaux","2019","2019","g","326391.82","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","031","Azerbaïdjan","661","Disponibilité alimentaire (Kcal)","S2903","Produits Vegetaux","2018","2018","million kcal","9642721.44","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","031","Azerbaïdjan","661","Disponibilité alimentaire (Kcal)","S2903","Produits Vegetaux","2019","2019","million kcal","10103338.51","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","031","Azerbaïdjan","671","Disponibilité de protéines en quantité (g)","S2903","Produits Vegetaux","2018","2018","g","214401.87","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","031","Azerbaïdjan","671","Disponibilité de protéines en quantité (g)","S2903","Produits Vegetaux","2019","2019","g","227522.88","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","031","Azerbaïdjan","681","Disponibilité de matière grasse en quantité (g)","S2903","Produits Vegetaux","2018","2018","g","138702.16","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","031","Azerbaïdjan","681","Disponibilité de matière grasse en quantité (g)","S2903","Produits Vegetaux","2019","2019","g","145363.26","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","031","Azerbaïdjan","661","Disponibilité alimentaire (Kcal)","S2941","Produits Animaux","2018","2018","million kcal","2179911.62","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","031","Azerbaïdjan","661","Disponibilité alimentaire (Kcal)","S2941","Produits Animaux","2019","2019","million kcal","2242534.28","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","031","Azerbaïdjan","671","Disponibilité de protéines en quantité (g)","S2941","Produits Animaux","2018","2018","g","123402.84","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","031","Azerbaïdjan","671","Disponibilité de protéines en quantité (g)","S2941","Produits Animaux","2019","2019","g","127402.74","E","Valeur estimée"
